Course_Code,Course_Title,2021_Points_R1,2021_Points_R2,2020_Points_R1,2020_Points_R2,2019_Points_R1,2019_Points_R2
DC197,Biomedical Engineering,510  ,,423,,446.0,402
DC200,Common Entry into Engineering (Undenominated Entry,511  ,510,422,,444.0,381
DC201,Common Entry into Science (Undenominated Entry),,,498,488,477.0,454
DC202,Sport Science and Health                          ,511  ,,500,498,476.0,467
DC203,Science Education,462  ,,435,,476.0,424
DC204,Athletic Therapy and Training,558  ,,522,519,500.0,484
DC205,Physical Education with Biology                   ,565  ,,531,,521.0,490
DC206,Physical Education with Mathematics               ,521  ,,499,,476.0,443
DC207,Psychology and Mathematics                        ,521  ,,,,,
DC208,Psychology,565  ,,532,521,521.0,509
DC209,Health and Society,477  ,,465,440,440.0,419
DC210,Psychology and Disruptive Technologies            ,506  ,,,,,
DC215,General Nursing                                   ,456* ,,454,433,443.0,414
DC216,Mental Health Nursing                             ,420  ,,418,403,389.0,368
DC217,Intellectual Disability Nursing                   ,382  ,,370,,362.0,347
DC218,Children`s and General Nursing (Integrated),521* ,,500,498,480.0,467
DC230,Economics  Politics and Law                       ,431  ,,435,,431.0,400
DC231,International Relations                           ,398  ,,397,,445.0,387
DC232,Law and Society (BCL),469  ,,466,,487.0,453
DC235,Education and Training - Daytime Delivery Mode (full-time),302  ,,309,,327.0,307
DC238,Social Sciences and Cultural Innovation           ,387  ,,377,,388.0,358
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430,,,
DC240,Marketing  Innovation and Technology              ,499  ,,476,474,474.0,451
DC241,Digital Business and Innovation                   ,509  ,,,,,
DC291,Arts (Joint Honours) - Media Studies              ,350  ,,376,,392.0,349
DC292,Arts (Joint Honours) - Law,400  ,,403,,388.0,356
DC293,Arts (Joint Honours) - International Languages    ,379  ,,377,,400.0,369
DC294,Climate and Environmental Sustainability          ,475  ,,,,,
DC295,Arts (Joint Honours) - Politics                   ,349  ,,376,,387.0,348
DK710,Business and Management,,,120,120,,
DK712,Digital Marketing and Public Relations,,,100,100,,
DK721,Computing,,,106,106,,
DK722,Augmented and Virtual Reality,,,144,144,,
DK730,Building Surveying,,,165,,,
DK731,Architectural Technology,,,332,,,
DK732,Construction Management,,,120,,,
DK740,Engineering - Electrical and Electronic Systems,,,179,179,,
DK742,Engineering - Mechanical Engineering,,,166,166,,
DK744,Engineering - Civil Engineering,,,190,157,,
DK750,Hospitality Management,,,176,176,,
DK752,Event Management,,,175,175,,
DK753,Culinary Arts,,,182,182,,
DK767,Community Youth Work (interview),,,240,240,,
DK769,Creative Media,,,165,165,,
DK770,Theatre & Film Practice,,,190,190,,
DK771,Musical Theatre (audition),,,,,,
DK781,Science - Bioscience,,,358,328,,
DK783,Science - Pharmaceutical Science,,,349,317,,
DK784,Veterinary Nursing,,,399,,,
DK810,Accounting and Finance                            ,307  ,307,305,305,391.0,306
DK816,Business Studies                                  ,301  ,301,300,300,357.0,300
DK820,Computing in Games Development,309  ,309,311,311,369.0,307
DK821,Computing in Software Development                 ,320  ,316,302,302,347.0,301
DK822,Augmented and Virtual Reality                     ,320  ,320,307,,,
DK830,Building Surveying                                ,305  ,,336,,349.0,302
DK831,Architectural Technology,368  ,314,389,,366.0,301
DK832,Construction Management                           ,358  ,305,387,,329.0,300
DK843,Engineering (Common Entry)                        ,404  ,391,340,340,402.0,303
DK844,Mechanical Engineering                            ,336  ,336,305,305,,
DK845,Electrical and Electronic Engineering             ,331  ,331,304,304,,
DK846,Civil Engineering                                 ,371  ,371,391,361,,
DK850,International Tourism Management,303  ,303,317,317,,
DK860,Music,,,532,532,649.0,#499
DK861,Arts                                              ,302  ,302,302,302,358.0,300
DK862,Social Care                                       ,322  ,319,301,,338.0,300
DK863,Creative Media                                    ,336  ,320,308,308,376.0,300
DK864,Film and Television Production                    ,308  ,,300,300,332.0,300
DK865,Audio and Music Production,352  ,,301,,346.0,301
DK870,General Nursing                                   ,440* ,440*,403,401,401.0,392
DK872,Intellectual Disability Nursing                   ,367  ,366,336,,317.0,300
DK874,Mental Health Nursing,398  ,,356,,378.0,356
DK876,Early Childhood Studies,300  ,,321,,359.0,305
DK877,Midwifery                                         ,482  ,477,440,,441.0,398*
DK880,Health and Physical Activity                      ,301  ,,328,,367.0,300
DK882,Agriculture (Award options)                       ,342  ,,310,,358.0,303
DK883,Science (Award options),373  ,368,358,321,369.0,300
DK884,Sustainable Agriculture                           ,348  ,,,,,
DK886,Biopharmaceutical Science                         ,379  ,,301,,,
DK887,Environmental Science                             ,377  ,,330,,,
DL821,"English, Media and Cultural Studies",,,212,212,317.0,211
DL822,Arts Management,254  ,,229,229,319.0,209
DL823,Business Management                               ,220  ,,235,,316.0,260
DL825,Applied Psychology                                ,418  ,413,379,,413.0,349
DL826,Graphic Design                                    ,#591 ,,855,,989.0,#736
DL827,Art,#574 ,,572,,902.0,#583
DL828,"3D Design, Modelmaking and Digital Art",,,506,,866.0,#691
